challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,eta,gamma,max_depth,min_child_weight,subsample,r2,rmse,mae,pearson
t-C2C,pcp,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,94,100,0.1,1,12,5,0.5,0.92156,0.56104,0.36207,0.96025
t-C2C,pcp,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,94,100,0.1,1,12,5,0.5,0.6917,1.08721,0.80081,0.83897
t-C2C,pcp,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,100,0.1,0,6,1,0.5,0.89891,0.59833,0.3985,0.94878
t-C2C,pcp,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,100,0.1,0,6,1,0.5,0.65744,1.07898,0.79904,0.81665
t-A2A,pcp,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,76,50,0.1,1,9,3,0.5,0.79409,0.6233,0.44968,0.89245
t-A2A,pcp,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,76,50,0.1,1,9,3,0.5,0.48379,0.98601,0.74614,0.71397
t-A2A,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,50,0.1,0,6,1,0.5,0.84629,0.5556,0.39709,0.92162
t-A2A,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,50,0.1,0,6,1,0.5,0.68797,0.78151,0.57395,0.83116
t-A2A,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,50,0.1,0,6,1,0.5,0.85157,0.55846,0.39949,0.92449
t-A2A,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,50,0.1,0,6,1,0.5,0.69948,0.78313,0.57546,0.83858
t-C2C,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,303,100,0.3,0,6,1,1.0,0.9281,0.5037,0.30798,0.96375
t-C2C,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,303,100,0.3,0,6,1,1.0,0.82781,0.77848,0.49523,0.91014
