challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,alpha,r2,rmse,mae,pearson
t-F2F,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.75872,0.74429,0.54028,0.87105
t-F2F,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.74186,0.76925,0.55581,0.86148
t-C2C,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.81,0.87172,0.60506,0.9
t-C2C,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.76392,0.9692,0.67207,0.87495
t-C2C,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.7566,0.9288,0.65594,0.86981
t-C2C,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.59066,1.18217,0.876,0.7752
t-F2F,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,15,0.01,0.68207,0.84248,0.61566,0.82587
t-F2F,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,15,0.01,0.41787,1.13393,0.87869,0.68002
t-A2A,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,0.00251,0.79362,0.63698,0.45955,0.89061
t-A2A,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,0.00251,0.45095,1.02416,0.80971,0.69847
t-A2A,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.67575,0.78228,0.58993,0.82162
t-A2A,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.4242,1.02776,0.77682,0.69964
t-F2F,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,15,0.01,0.72801,0.84652,0.61854,0.85323
t-F2F,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,15,0.01,0.49895,1.1413,0.8841,0.73029
t-C2C,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.78424,0.93086,0.65829,0.88555
t-C2C,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.63799,1.18006,0.87516,0.80398
t-A2A,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,0.00251,0.77983,0.66484,0.50119,0.88307
t-A2A,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,0.00251,0.60494,0.87586,0.65436,0.78917
t-A2A,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,15,0.01,0.71265,0.77691,0.59232,0.84415
t-A2A,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,15,0.01,0.62575,0.87591,0.66814,0.79403
t-C2C,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.7362,0.96501,0.69901,0.85802
t-C2C,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.71033,1.00928,0.73137,0.84334
t-F2F,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,2e-05,0.70445,0.82376,0.60594,0.83931
t-F2F,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,2e-05,0.69544,0.83553,0.61337,0.83404
t-F2F,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,2e-05,0.74644,0.82738,0.60872,0.86397
t-F2F,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,2e-05,0.73869,0.83926,0.61618,0.85955
t-C2C,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.76641,0.96656,0.69975,0.87544
t-C2C,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.74363,1.01076,0.73231,0.86278
t-C2C,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.71492,1.00502,0.72853,0.84549
t-C2C,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.58282,1.19646,0.88221,0.76867
t-F2F,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.72749,0.84719,0.62132,0.85291
t-F2F,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.54848,1.08341,0.82042,0.7547
t-A2A,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.66262,0.81812,0.62299,0.81369
t-A2A,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.40082,1.0777,0.82679,0.66748
t-A2A,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.72479,0.71997,0.54694,0.851
t-A2A,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.36029,1.09705,0.83851,0.63464
t-C2C,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.74742,1.00702,0.72949,0.8645
t-C2C,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.62795,1.20023,0.88324,0.79759
t-F2F,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.68152,0.8431,0.61826,0.82553
t-F2F,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.47266,1.07929,0.82009,0.70551
t-C2C,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,0.001,0.78774,0.92139,0.66007,0.88755
t-C2C,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,0.001,0.74273,1.01264,0.71979,0.86351
t-F2F,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,7,0.00025,0.79135,0.75055,0.54092,0.88958
t-F2F,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,7,0.00025,0.7778,0.77399,0.55467,0.88204
t-A2A,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,0.01585,0.7605,0.69351,0.52532,0.87205
t-A2A,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,0.01585,0.65756,0.81575,0.62181,0.81648
t-C2C,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,0.001,0.76026,0.91997,0.65888,0.87193
t-C2C,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,0.001,0.70944,1.01094,0.71809,0.8444
t-A2A,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,0.01585,0.76907,0.69636,0.52825,0.87694
t-A2A,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,0.01585,0.66741,0.82137,0.6269,0.82274
t-F2F,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.75591,0.74861,0.53961,0.86943
t-F2F,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.73926,0.77316,0.55391,0.85997
t-F2F,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,0.01585,0.73608,0.83376,0.60721,0.85794
t-F2F,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,0.01585,0.58102,1.04413,0.78046,0.77329
t-A2A,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.70935,0.75695,0.58112,0.84177
t-A2A,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.4168,1.07305,0.81716,0.69077
t-F2F,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,15,0.01,0.70485,0.81157,0.58754,0.83954
t-F2F,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,15,0.01,0.51127,1.0373,0.77782,0.7299
t-C2C,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.69298,1.04307,0.76201,0.83244
t-C2C,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.54635,1.24695,0.91689,0.74833
t-A2A,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.69488,0.75769,0.58039,0.83309
t-A2A,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.40429,1.04922,0.79566,0.67457
t-C2C,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,19,0.0631,0.68599,1.12296,0.83363,0.82823
t-C2C,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,19,0.0631,0.59552,1.24987,0.9541,0.77917
t-A2A,Mordred,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.7498,0.72506,0.54487,0.86588
t-A2A,Mordred,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.6342,0.8631,0.63681,0.80213
