challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,max_depth,max_features,max_samples,min_samples_leaf,min_samples_split,r2,rmse,mae,pearson
s-F2F-2,pcp,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.91937,0.42044,0.24323,0.95909
s-F2F-2,pcp,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,169,100,200,sqrt,1.0,1,2,0.98204,0.21908,0.13082,0.99115
s-F2F-2,pcp,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,169,100,200,sqrt,1.0,1,2,0.93295,0.42283,0.24497,0.96607
s-F2F-2,pcp,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.98272,0.20751,0.12255,0.99144
s-F2F-2,pcp,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.63129,0.93224,0.67953,0.81248
s-F2F-2,pcp,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.97921,0.20711,0.12272,0.98971
s-F2F-2,pcp,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.56521,0.91648,0.66662,0.77076
s-F2F-2,Morgan,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.982,0.21928,0.13121,0.99116
s-F2F-2,Morgan,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.93176,0.42625,0.24666,0.96548
s-F2F-2,Morgan,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,26,150,50,sqrt,1.0,1,2,0.97806,0.2195,0.13128,0.98925
s-F2F-2,Morgan,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,26,150,50,sqrt,1.0,1,2,0.91773,0.42434,0.24719,0.95826
s-F2F-2,Morgan,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,14,150,50,sqrt,0.5,1,2,0.96119,0.2831,0.17028,0.98105
s-F2F-2,Morgan,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,14,150,50,sqrt,0.5,1,2,0.56377,0.92717,0.65479,0.77635
s-F2F-2,Morgan,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,28,50,50,sqrt,1.0,1,5,0.97346,0.25725,0.15857,0.98698
s-F2F-2,Morgan,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,28,50,50,sqrt,1.0,1,5,0.63574,0.9332,0.67304,0.82113
s-F2F-2,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.97866,0.21649,0.12951,0.98953
s-F2F-2,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.91908,0.42095,0.24656,0.95898
s-F2F-2,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.98241,0.21682,0.12964,0.99135
s-F2F-2,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.93322,0.42154,0.24684,0.96628
s-F2F-2,ToxPrint,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.97935,0.20652,0.12242,0.9898
s-F2F-2,ToxPrint,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.57965,0.90297,0.64562,0.7788
s-F2F-2,ToxPrint,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.98273,0.20752,0.12306,0.99146
s-F2F-2,ToxPrint,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.64539,0.91451,0.66067,0.82075
s-F2F-2,mol2vec,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,101,100,100,sqrt,1.0,1,5,0.97001,0.25668,0.15823,0.98525
s-F2F-2,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,101,100,100,sqrt,1.0,1,5,0.90966,0.44467,0.25941,0.95409
s-F2F-2,mol2vec,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,103,300,100,sqrt,1.0,1,5,0.9754,0.25638,0.15734,0.98789
s-F2F-2,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,103,300,100,sqrt,1.0,1,5,0.92508,0.44637,0.26017,0.96206
s-F2F-2,mol2vec,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,101,100,100,sqrt,1.0,1,5,0.97227,0.23932,0.14371,0.9863
s-F2F-2,mol2vec,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,101,100,100,sqrt,1.0,1,5,0.55921,0.93287,0.65419,0.766
s-F2F-2,mol2vec,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.98183,0.21274,0.12498,0.99103
s-F2F-2,mol2vec,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.62746,0.94023,0.66846,0.81031
s-F2F-2,Mordred,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,103,300,100,sqrt,1.0,1,5,0.97443,0.26138,0.1603,0.98736
s-F2F-2,Mordred,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,103,300,100,sqrt,1.0,1,5,0.92392,0.45001,0.26204,0.96142
s-F2F-2,Mordred,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,30,150,50,sqrt,1.0,1,5,0.96891,0.26134,0.15993,0.98466
s-F2F-2,Mordred,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,30,150,50,sqrt,1.0,1,5,0.90898,0.44649,0.26044,0.95372
s-F2F-2,Mordred,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,173,100,200,sqrt,1.0,1,5,0.97098,0.24473,0.14639,0.98562
s-F2F-2,Mordred,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,173,100,200,sqrt,1.0,1,5,0.5847,0.91183,0.66934,0.78252
s-F2F-2,Mordred,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,12,50,50,sqrt,0.5,1,2,0.96378,0.3006,0.17816,0.98207
s-F2F-2,Mordred,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,12,50,50,sqrt,0.5,1,2,0.6532,0.91333,0.66873,0.82121
s-F2F-2,none,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.9754,0.23245,0.14782,0.98809
s-F2F-2,none,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.89857,0.47146,0.29251,0.94847
s-F2F-2,none,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.98004,0.23093,0.14674,0.9903
s-F2F-2,none,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.91643,0.47192,0.29205,0.9577
s-F2F-2,none,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,30,150,50,sqrt,1.0,1,5,0.96669,0.26228,0.16535,0.98387
s-F2F-2,none,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,30,150,50,sqrt,1.0,1,5,0.50339,0.98719,0.72669,0.73251
s-F2F-2,none,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,84,50,100,sqrt,0.5,1,2,0.96085,0.31243,0.1979,0.98092
s-F2F-2,none,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,84,50,100,sqrt,0.5,1,2,0.58161,0.99585,0.7341,0.77991
s-F2F-3,MACCS,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,97,100,100,sqrt,1.0,1,2,0.9556,0.32209,0.2134,0.97793
s-F2F-3,MACCS,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,97,100,100,sqrt,1.0,1,2,0.87811,0.5323,0.35709,0.93748
s-F2F-3,MACCS,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.96175,0.32144,0.21321,0.981
s-F2F-3,MACCS,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.89368,0.53477,0.35909,0.94573
s-F2F-3,MACCS,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,28,50,50,sqrt,1.0,1,5,0.95299,0.36156,0.24852,0.97653
s-F2F-3,MACCS,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,28,50,50,sqrt,1.0,1,5,0.61289,1.00216,0.77861,0.79992
