challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,alpha,r2,rmse,mae,pearson
s-F2F-2,mol2vec,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.85353,0.56721,0.41017,0.92386
s-F2F-2,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.79346,0.67173,0.46548,0.89247
s-F2F-2,mol2vec,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.87862,0.56948,0.41151,0.93734
s-F2F-2,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.82695,0.67819,0.46872,0.91065
s-F2F-2,mol2vec,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,19,0.0631,0.66255,0.83417,0.59218,0.81376
s-F2F-2,mol2vec,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,19,0.0631,0.52412,0.9626,0.68861,0.73766
s-F2F-2,mol2vec,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,19,0.0631,0.72167,0.83242,0.58954,0.8494
s-F2F-2,mol2vec,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,19,0.0631,0.60404,0.9627,0.68828,0.78621
s-F2F-3,MACCS,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,6,0.00016,0.74103,0.77786,0.5737,0.86082
s-F2F-3,MACCS,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,6,0.00016,0.6915,0.84685,0.61627,0.8334
s-F2F-3,MACCS,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,6,0.00016,0.77361,0.78204,0.57698,0.87954
s-F2F-3,MACCS,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,6,0.00016,0.73058,0.8508,0.61944,0.85624
s-F2F-3,MACCS,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,18,0.03981,0.65768,0.97729,0.76218,0.81093
s-F2F-3,MACCS,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,18,0.03981,0.43362,1.19815,0.97615,0.70644
s-F2F-3,MACCS,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,18,0.03981,0.60955,0.97146,0.75802,0.78065
s-F2F-3,MACCS,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,18,0.03981,0.36688,1.18272,0.96099,0.66251
s-F2F-3,pcp,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.83983,0.6118,0.44677,0.91642
s-F2F-3,pcp,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.76954,0.73232,0.51435,0.87888
s-F2F-3,pcp,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.87169,0.58879,0.42655,0.93364
s-F2F-3,pcp,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.79762,0.73797,0.50794,0.89478
s-F2F-3,pcp,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,19,0.0631,0.60673,1.04694,0.8099,0.77878
s-F2F-3,pcp,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,19,0.0631,0.42051,1.22045,0.9917,0.68308
s-F2F-3,pcp,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,19,0.0631,0.55581,1.03582,0.79794,0.74533
s-F2F-3,pcp,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,19,0.0631,0.33704,1.22033,0.99048,0.6255
s-F2F-3,Morgan,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.87662,0.53693,0.39012,0.93628
s-F2F-3,Morgan,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.79356,0.69248,0.47613,0.89285
s-F2F-3,Morgan,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.89272,0.53838,0.39022,0.94484
s-F2F-3,Morgan,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.8201,0.69468,0.47602,0.9072
s-F2F-3,Morgan,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,17,0.02512,0.71623,0.8883,0.67242,0.84615
s-F2F-3,Morgan,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,17,0.02512,0.44371,1.19099,0.95145,0.70204
s-F2F-3,Morgan,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,17,0.02512,0.67381,0.88659,0.671,0.82064
s-F2F-3,Morgan,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,17,0.02512,0.36085,1.1905,0.95228,0.64647
s-F2F-3,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.76669,0.73834,0.55316,0.8756
s-F2F-3,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.7077,0.82458,0.60034,0.84287
s-F2F-3,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.79592,0.74251,0.55663,0.89214
s-F2F-3,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.74379,0.82989,0.6037,0.86378
s-F2F-3,ToxPrint,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,17,0.02512,0.63798,0.93564,0.71976,0.7987
s-F2F-3,ToxPrint,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,17,0.02512,0.31885,1.23245,0.98778,0.63713
s-F2F-3,ToxPrint,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,18,0.03981,0.62862,1.01816,0.79709,0.7928
s-F2F-3,ToxPrint,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,18,0.03981,0.4084,1.23388,0.9693,0.6818
s-F2F-3,mol2vec,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,12,0.00251,0.83064,0.62907,0.46129,0.91139
s-F2F-3,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,12,0.00251,0.76653,0.73754,0.51941,0.8772
s-F2F-3,mol2vec,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,12,0.00251,0.85273,0.63079,0.46262,0.92343
s-F2F-3,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,12,0.00251,0.79692,0.73941,0.52045,0.89404
s-F2F-3,mol2vec,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,20,0.1,0.65482,0.98041,0.74562,0.80905
s-F2F-3,mol2vec,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,20,0.1,0.44559,1.17967,0.93404,0.70157
s-F2F-3,mol2vec,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,20,0.1,0.60026,0.98206,0.75035,0.77451
s-F2F-3,mol2vec,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,20,0.1,0.37745,1.16782,0.92984,0.65651
s-F2F-3,Mordred,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.85751,0.57702,0.42238,0.92602
s-F2F-3,Mordred,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.79371,0.6928,0.48847,0.89244
s-F2F-3,Mordred,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.87659,0.57743,0.42265,0.93626
s-F2F-3,Mordred,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.82263,0.69069,0.48618,0.90809
s-F2F-3,Mordred,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,22,0.25119,0.61291,1.03981,0.81453,0.78287
s-F2F-3,Mordred,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,22,0.25119,0.46053,1.17822,0.94313,0.69886
s-F2F-3,Mordred,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,22,0.25119,0.56342,1.02773,0.80057,0.75058
s-F2F-3,Mordred,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,22,0.25119,0.38455,1.17475,0.93442,0.6452
s-F2F-3,none,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,0,1e-05,0.49899,1.16345,0.91855,0.70637
s-F2F-3,none,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,0,1e-05,0.49312,1.16854,0.92233,0.7031
s-F2F-3,none,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,0,1e-05,0.42161,1.16257,0.92001,0.64928
s-F2F-3,none,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,0,1e-05,0.41515,1.16754,0.92372,0.64531
s-F2F-3,none,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,7,0.00025,0.50329,1.17785,0.9258,0.7094
s-F2F-3,none,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,7,0.00025,0.42641,1.22127,0.9661,0.68166
s-F2F-3,none,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.42843,1.17616,0.92621,0.65451
s-F2F-3,none,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.34261,1.21857,0.96595,0.62088
s-C2C,MACCS,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.70272,0.9593,0.69581,0.83828
s-C2C,MACCS,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.67253,1.00456,0.72716,0.82048
s-C2C,MACCS,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.73601,0.96254,0.699,0.85791
s-C2C,MACCS,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.70926,1.00805,0.73085,0.8425
s-C2C,MACCS,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,16,0.01585,0.70699,1.00259,0.73142,0.84082
s-C2C,MACCS,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,16,0.01585,0.58425,1.18104,0.88033,0.76924
s-C2C,MACCS,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,16,0.01585,0.66935,0.99929,0.7285,0.81813
s-C2C,MACCS,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,16,0.01585,0.53019,1.17983,0.87857,0.73432
s-C2C,pcp,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.79973,0.78734,0.55168,0.89427
s-C2C,pcp,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.72546,0.91997,0.6408,0.8535
s-C2C,pcp,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.82279,0.7886,0.5533,0.90707
s-C2C,pcp,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.75658,0.92253,0.64257,0.87116
s-C2C,pcp,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.81696,0.79214,0.55354,0.90385
s-C2C,pcp,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.58751,1.17577,0.8684,0.77921
s-C2C,pcp,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,12,0.00251,0.7796,0.81554,0.57442,0.88293
s-C2C,pcp,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,12,0.00251,0.53487,1.17552,0.8601,0.74492
s-C2C,Morgan,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.78354,0.81854,0.57769,0.88517
