challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_inducing,tax_pdm,r2,rmse,mae,pearson
s-F2F-2,mol2vec,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.97229,0.26272,0.15411,0.98607
s-F2F-2,mol2vec,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.54461,1.03789,0.7529,0.75727
s-F2F-2,Mordred,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.96969,0.28453,0.17046,0.98476
s-F2F-2,Mordred,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.92111,0.45788,0.26335,0.95984
s-F2F-2,Mordred,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.96065,0.29327,0.17676,0.98026
s-F2F-2,Mordred,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.8989,0.46859,0.27294,0.9484
s-F2F-2,Mordred,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.91064,0.42972,0.28776,0.95448
s-F2F-2,Mordred,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.51184,0.98732,0.72647,0.7381
s-F2F-2,Mordred,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.93083,0.41501,0.27957,0.9649
s-F2F-2,Mordred,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.59174,0.9938,0.72394,0.78444
s-F2F-3,none,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.78029,0.69317,0.49523,0.88046
s-F2F-3,none,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.70608,0.80721,0.569,0.83543
s-F2F-3,none,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.80392,0.72763,0.53741,0.89707
s-F2F-3,none,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.76065,0.80287,0.58188,0.87269
s-F2F-3,none,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.77622,0.78986,0.58263,0.88141
s-F2F-3,none,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.40577,1.23482,0.94916,0.67915
s-F2F-3,none,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.71425,0.82902,0.6161,0.84545
s-F2F-3,none,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.38896,1.16009,0.90732,0.64834
s-F2F-3,MACCS,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.9281,0.40732,0.28397,0.96396
s-F2F-3,MACCS,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.86001,0.56898,0.38464,0.92788
s-F2F-3,MACCS,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.94578,0.38272,0.26039,0.97258
s-F2F-3,MACCS,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.88499,0.55565,0.36834,0.94103
s-F2F-3,MACCS,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.94706,0.38386,0.26631,0.97322
s-F2F-3,MACCS,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.55213,1.06997,0.82366,0.76908
s-F2F-3,MACCS,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.9387,0.38451,0.26748,0.96894
s-F2F-3,MACCS,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.45934,1.09533,0.8584,0.71806
s-F2F-3,pcp,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.94722,0.37763,0.25903,0.97333
s-F2F-3,pcp,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.88666,0.55242,0.36343,0.94186
