challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,max_depth,max_features,max_samples,min_samples_leaf,min_samples_split,r2,rmse,mae,pearson
t-C2C,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.85327,0.76447,0.48002,0.92409
t-C2C,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.94167,0.45419,0.26069,0.97073
t-C2C,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.6698,1.06047,0.77148,0.82743
t-F2F,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,168,50,200,sqrt,1.0,1,2,0.96549,0.30147,0.18041,0.9827
t-F2F,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,168,50,200,sqrt,1.0,1,2,0.63244,0.97549,0.74585,0.80896
t-A2A,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,100,50,100,sqrt,1.0,1,5,0.81747,0.59992,0.42496,0.90546
t-A2A,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,100,50,100,sqrt,1.0,1,5,0.37549,1.11016,0.88463,0.69943
t-A2A,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,150,50,sqrt,0.5,1,2,0.79985,0.61431,0.44064,0.89697
t-A2A,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,150,50,sqrt,0.5,1,2,0.38691,1.08502,0.86317,0.69717
t-C2C,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,100,50,100,sqrt,1.0,1,5,0.92989,0.5303,0.33008,0.96483
t-C2C,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,100,50,100,sqrt,1.0,1,5,0.70552,1.06349,0.77255,0.85014
t-F2F,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.95963,0.30012,0.17932,0.97976
t-F2F,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.57207,0.97002,0.73935,0.77407
t-C2C,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.94878,0.45253,0.2642,0.97446
t-C2C,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.84488,0.78612,0.4918,0.91944
t-F2F,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.96929,0.28794,0.17481,0.98466
t-F2F,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.90613,0.50274,0.31305,0.95194
t-A2A,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,175,300,200,sqrt,1.0,1,5,0.84414,0.55932,0.40405,0.92049
t-A2A,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,175,300,200,sqrt,1.0,1,5,0.67345,0.79829,0.59265,0.82274
t-C2C,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.94203,0.45231,0.26385,0.97111
t-C2C,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.82556,0.78297,0.48997,0.90891
t-A2A,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.86769,0.52705,0.36445,0.93272
t-A2A,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.68373,0.80122,0.58527,0.82949
t-F2F,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.96392,0.28782,0.17469,0.98198
t-F2F,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.88946,0.50309,0.31294,0.94315
t-F2F,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.96623,0.29819,0.1767,0.98304
t-F2F,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.6043,1.01492,0.77585,0.79668
t-A2A,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,163,300,200,sqrt,0.5,1,5,0.78964,0.64487,0.46892,0.89099
t-A2A,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,163,300,200,sqrt,0.5,1,5,0.34906,1.14133,0.90878,0.70442
t-F2F,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,168,50,200,sqrt,1.0,1,2,0.9594,0.30099,0.17849,0.97958
t-F2F,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,168,50,200,sqrt,1.0,1,2,0.53637,1.01242,0.7696,0.75343
t-C2C,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,28,50,50,sqrt,1.0,1,5,0.92317,0.52153,0.31935,0.9612
t-C2C,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,28,50,50,sqrt,1.0,1,5,0.63328,1.11684,0.82139,0.81332
t-A2A,mol2vec,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,164,50,200,sqrt,0.5,1,10,0.75275,0.68398,0.50021,0.87049
t-A2A,mol2vec,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,164,50,200,sqrt,0.5,1,10,0.33756,1.12378,0.88206,0.68319
t-C2C,mol2vec,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,174,150,200,sqrt,1.0,1,5,0.93264,0.51972,0.31757,0.96604
t-C2C,mol2vec,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,174,150,200,sqrt,1.0,1,5,0.66449,1.13331,0.84149,0.8297
t-A2A,Mordred,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,177,100,200,sqrt,1.0,1,10,0.82511,0.60601,0.44478,0.91017
t-A2A,Mordred,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,177,100,200,sqrt,1.0,1,10,0.68695,0.79607,0.59017,0.83082
