challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_inducing,tax_pdm,r2,rmse,mae,pearson
t-C2C,Mordred,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.85492,0.71667,0.45404,0.92483
t-C2C,Mordred,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.63471,1.11716,0.81282,0.80332
t-F2F,Mordred,occurrence,molar,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,1,250,pdm,0.82455,0.67949,0.48756,0.9081
t-F2F,Mordred,occurrence,molar,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,1,250,pdm,0.54648,1.0866,0.8299,0.75905
t-F2F,Mordred,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.87975,0.56278,0.38907,0.93798
t-F2F,Mordred,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.6125,1.00351,0.75741,0.79486
t-F2F,Mordred,occurrence,mass,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,2,500,pdm,0.82445,0.62598,0.44426,0.90808
t-F2F,Mordred,occurrence,mass,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,2,500,pdm,0.4738,1.07676,0.81079,0.71689
t-F2F,Mordred,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.85838,0.56221,0.38867,0.92653
t-F2F,Mordred,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.50454,1.0462,0.80796,0.73354
